Scrip Code,COMPANY,ISIN No.,Close Price
531213,Manappuram Finance Ltd,INE522D01027,172.65
500109,Mangalore Refinery & Petrochemicals Ltd,INE103A01014,159.3
543904,Mankind Pharma Ltd,INE634S01028,2221
531642,Marico Ltd,INE196A01026,532.8
532500,Maruti Suzuki India Ltd,INE585B01010,9962.3
540749,MAS Financial Services Ltd,INE348L01012,874.15
523704,Mastek Ltd,INE759A01021,2865.35
500271,Max Financial Services Ltd,INE180A01020,937.6
543220,Max Healthcare Institute Ltd,INE027H01010,737.35
543237,Mazagon Dock Shipbuilders Ltd,INE249Z01012,2288.15
543427,Medplus Health Services Ltd,INE804L01022,741.45
543426,Metro Brands Ltd,INE317I01021,1264.2
542650,Metropolis Healthcare Ltd,INE112L01020,1505
538962,Minda Corporation Ltd,INE842C01021,393.85
541195,Mishra Dhatu Nigam Ltd,INE099Z01011,401.3
513377,MMTC LTD,INE123F01029,67.26
543498,Motherson Sumi Wiring India Ltd,INE0FS801015,63.08
532892,Motilal Oswal Financial Services Ltd,INE338I01027,1556.7
526299,MphasiS Ltd,INE356A01018,2677.75
500290,MRF Ltd,INE883A01011,134284.3
534091,Multi Commodity Exchange of India Limited,INE745G01035,3060.05
533398,Muthoot Finance Ltd,INE414G01012,1473.5
539551,Narayana Hrudayalaya Ltd,INE410P01011,1279.35
524816,Natco Pharma Ltd,INE987B01026,851.9
532234,National Aluminium Co Ltd,INE139A01034,131.4
532504,Navin Fluorine International Ltd.,INE048G01026,3535.05
534309,NBCC (India) Ltd,INE095N01031,91.42
500294,NCC Ltd/India,INE868B01028,196.45
505355,Nesco Ltd.,INE317F01035,881.7
500790,Nestle India Ltd,INE239A01024,2549.25
532798,Network 18 Media & Investments Ltd,INE870H01013,124.24
533098,NHPC Ltd,INE848E01016,69.17
540767,Nippon Life India Asset Management Ltd,INE298J01013,513.7
513683,NLC India Ltd,INE589A01014,232.55
526371,NMDC Ltd,INE584A01023,211.35
543768,NMDC Steel Ltd,INE0NNS01018,50.06
532555,NTPC Ltd,INE733E01010,312.65
543334,Nuvoco Vistas Corporation Ltd,INE118D01016,349.6
533273,Oberoi Realty Ltd,INE093I01010,1540
500312,Oil & Natural Gas Corp Ltd,INE213A01029,223.35
533106,Oil India Ltd,INE274J01014,374.8
543396,One 97 Communications Ltd,INE982J01020,692.2
532466,Oracle Financial Services Software Ltd,INE881D01027,4657.15
541301,Orient Electric Ltd,INE142Z01019,232.5
532827,Page Industries Ltd,INE761H01022,36881.1
500368,Patanjali Foods Limited,INE619A01035,1639.5
543390,PB Fintech Ltd,INE417T01026,850.95
506590,PCBL Ltd,INE602A01031,265.95
533179,Persistent Systems Ltd,INE262H01013,7650.3
532522,Petronet LNG Ltd,INE347G01014,229.6
500680,Pfizer Ltd (India),INE182A01018,4349.1
503100,Phoenix Mills Ltd,INE211B01039,2502.9
523642,PI Industries Ltd,INE603J01030,3448.95
500331,Pidilite Industries Ltd,INE318A01026,2732.7
500302,Piramal Enterprises Ltd,INE140A01024,932.3
543635,Piramal Pharma Ltd,INE0DK501011,142
540173,PNB Housing Finance Ltd,INE572E01012,799.75
539150,PNC Infratech Ltd,INE195J01029,377.6
531768,Poly Medicure Ltd,INE205C01021,1463.25
542652,Polycab India Ltd,INE455K01017,3981.3
524000,Poonawalla Fincorp Ltd,INE511C01022,496.6
532810,Power Finance Corp Ltd,INE134E01011,401.8
532898,Power Grid Corp of India Ltd,INE752E01010,239.5
522205,Praj Industries Ltd,INE074A01025,534.3
533274,Prestige Estates Projects Ltd,INE811K01011,1384.7
542907,Prince Pipes and Fittings Ltd,INE689W01016,722.75
500338,Prism Johnson Ltd,INE010A01011,186.65
