SYMBOL,UNDERLYING ASSET,OPEN,HIGH,LOW,PREV.CLOSE,LTP,CHNG,%CHNG,VOLUME,VALUE,NAV,52W H,52W L,30D %CHNG,365 D,365 D %CHNG,30 D
MONIFTY500,Motilal Oswal Nifty 500 ETF,19.75,19.75,19.50,19.50,19.60,0.10,0.51,1,50,339,0.29,19.45,20.78,16.30,1.19,-,-,19-Dec-2023
NIFTYIETF,Nifty 50,239.15,239.15,236.18,236.17,237.38,1.21,0.51,32,592,0.77,235.78,250.15,224.95,-,-,-,-
NIFMID150,UTI Nifty Midcap 150 Exchange Traded Fund (ETF),175.49,175.80,175.49,174.94,175.80,0.86,0.49,35,-,174.05,195.00,141.57,-10.14,-,-,19-Dec-2023
LICMFGOLD,Gold,5,719.70,5,719.70,5,679.40,5,659.90,5,687.40,27.50,0.49,30,0.02,-,5,976.60,5,111.00,-0.25,-,-,19-Dec-2023
KOTAKGOLD,Gold,52.61,52.99,52.61,52.61,52.86,0.25,0.48,40,866,0.22,52.75,55.20,47.01,-0.55,18-Jan-2023,8.21,19-Dec-2023
NPBET,Nifty Private Bank Index,241.64,243.70,241.64,241.64,242.80,1.16,0.48,384,0.01,241.09,267.00,199.54,-4.49,18-Jan-2023,10.34,19-Dec-2023
MAKEINDIA,Nifty India Manufacturing Total Return Index,111.83,111.92,111.34,110.94,111.47,0.53,0.48,4,186,0.05,110.89,116.05,67.32,2.06,-,-,19-Dec-2023
NIFTYETF,Nifty 50,228.34,228.95,227.51,227.06,228.14,1.08,0.48,51,382,1.17,226.40,238.00,176.06,0.3,-,-,19-Dec-2023
HDFCNIFBAN,Nifty Bank,470.77,470.77,465.30,463.83,466.00,2.17,0.47,2,995,0.14,462.86,555.00,389.25,-4.18,-,-,19-Dec-2023
AXISGOLD,Gold,53.08,53.08,52.84,52.71,52.95,0.24,0.46,12,811,0.07,52.85,55.60,47.01,-0.11,18-Jan-2023,8.93,19-Dec-2023
NIFTYBEES,Nifty 50,239.99,239.99,237.75,237.51,238.61,1.10,0.46,10,27,244,24.55,237.05,247.35,184.51,0.34,18-Jan-2023,19.56,19-Dec-2023
HDFCQUAL,HDFC NIFTY100 Quality 30 ETF,50.47,50.86,50.33,50.47,50.70,0.23,0.46,21,263,0.11,50.16,52.51,37.06,2.08,18-Jan-2023,30.18,19-Dec-2023
HEALTHY,Nifty Healthcare TRI,11.27,11.27,11.07,11.07,11.12,0.05,0.45,24,054,0.03,11.07,11.42,6.55,4.83,18-Jan-2023,36.50,19-Dec-2023
HDFCNIF100,HDFC NIFTY 100 ETF,22.40,22.40,22.05,22.05,22.15,0.10,0.45,17,964,0.04,21.99,23.00,16.79,0.73,18-Jan-2023,-87.97,19-Dec-2023
QGOLDHALF,Gold,52.89,52.89,52.31,52.26,52.49,0.23,0.44,2,510,0.01,52.28,54.59,43.65,-0.17,18-Jan-2023,8.33,19-Dec-2023
NAVINIFTY,Navi Nifty 50 ETF,216.27,217.61,216.27,215.99,216.92,0.93,0.43,24,-,214.98,230.00,189.00,0.11,-,-,19-Dec-2023
GOLDBEES,Gold,53.12,53.12,52.60,52.49,52.71,0.22,0.42,12,90,521,6.81,52.49,55.30,46.51,-0.19,18-Jan-2023,8.32,19-Dec-2023
SBIETFQLTY,Nifty 200 Quality 30 Index,195.80,197.67,195.80,195.67,196.50,0.83,0.42,750,0.01,195.29,203.15,142.85,2.36,18-Jan-2023,30.50,19-Dec-2023
LOWVOLIETF,Nifty 100 Low Volatility 30 Index,191.65,191.65,185.56,186.05,186.80,0.75,0.40,1,757,0.03,185.67,195.15,174.10,-,-,-,-
GOLDSHARE,Gold,52.85,53.15,52.80,52.85,53.05,0.20,0.38,1,09,591,0.58,52.89,55.45,45.80,0.09,18-Jan-2023,8.97,19-Dec-2023
KOTAKNIFTY,Nifty 50,231.57,233.34,231.57,231.57,232.44,0.87,0.38,4,434,0.10,230.85,239.80,179.60,0.41,18-Jan-2023,19.90,19-Dec-2023
ITETF,Mirae Asset Nifty IT ETF,37.52,37.52,36.96,37.06,37.20,0.14,0.38,5,816,0.02,36.88,40.00,30.40,3.81,-,-,19-Dec-2023
GOLDIETF,Gold,54.25,54.58,54.25,54.20,54.40,0.20,0.37,52,825,0.29,54.01,57.30,53.00,-,-,-,-
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,17.65,17.65,17.28,17.26,17.32,0.06,0.35,6,829,0.01,17.24,17.95,12.56,2.31,18-Jan-2023,-87.21,19-Dec-2023
DSPBANKETF,DSP Nifty Bank ETF,47.44,47.44,46.21,46.15,46.31,0.16,0.35,11,507,0.05,46.03,51.00,35.90,-4.15,18-Jan-2023,8.95,19-Dec-2023
SENSEXETF,Mirae Asset S&P BSE Sensex ETF,71.60,72.47,71.60,71.45,71.70,0.25,0.35,3,808,0.03,71.31,82.00,62.27,-0.94,-,-,19-Dec-2023
HEALTHIETF,Nifty Healthcare Index,111.06,111.78,110.96,110.79,111.18,0.39,0.35,20,987,0.23,110.76,114.85,73.81,-,-,-,-
UTIBANKETF,Nifty Bank,47.17,47.17,46.59,46.54,46.70,0.16,0.34,27,999,0.13,46.46,49.70,39.03,-4.16,18-Jan-2023,8.97,19-Dec-2023
MOLOWVOL,Nifty Midcap 100 TRI,33.85,33.85,33.31,33.43,33.54,0.11,0.33,6,461,0.02,33.26,35.00,21.21,6.5,18-Jan-2023,32.03,19-Dec-2023
NIF100BEES,Nifty 100 TRI,227.29,229.44,227.29,227.29,228.01,0.72,0.32,2,733,0.06,226.77,241.65,171.00,0.76,18-Jan-2023,19.76,19-Dec-2023
HDFCGOLD,Gold,54.22,54.53,54.22,54.16,54.33,0.17,0.31,66,295,0.36,53.99,57.25,48.44,0.18,-,-,19-Dec-2023
EGOLD,Edelweiss Gold ETF,63.95,64.00,63.65,63.75,63.95,0.20,0.31,1,023,0.01,63.54,74.20,60.15,-0.23,-,-,19-Dec-2023
BSLSENETFG,BSE SENSEX Index,70.04,70.47,70.00,69.79,70.00,0.21,0.30,2,546,0.02,69.65,77.00,55.05,-0.21,18-Jan-2023,18.67,19-Dec-2023
EBBETF0431,Nifty BHARAT Bond,1,180.45,1,184.00,1,180.45,1,180.58,1,183.99,3.41,0.29,1,030,0.12,1,182.83,1,203.15,1,099.10,0.39,18-Jan-2023,6.75,19-Dec-2023
NETF,Nifty 50,232.40,232.40,227.99,228.34,229.01,0.67,0.29,554,0.01,226.82,236.75,171.80,0.7,18-Jan-2023,19.93,19-Dec-2023
LICNETFSEN,SENSEX,790.00,790.00,785.20,783.00,785.20,2.20,0.28,50,-,781.60,826.10,620.93,-0.21,18-Jan-2023,18.63,19-Dec-2023
SBIETFPB,Nifty Private Bank Index,241.40,241.40,239.00,238.68,239.36,0.68,0.28,1,155,0.03,238.01,256.05,197.00,-6.12,18-Jan-2023,9.88,19-Dec-2023
LOWVOL,Mirae Asset Nifty 100 Low Volatility 30 ETF,173.30,173.95,172.70,173.25,173.71,0.46,0.27,159,-,172.44,176.08,120.00,2.3,-,-,19-Dec-2023
SETFGOLD,Gold,54.82,54.82,54.24,54.16,54.30,0.14,0.26,1,46,805,0.80,54.01,56.65,48.21,0.15,18-Jan-2023,8.86,19-Dec-2023
HNGSNGBEES,Hang Seng Index,228.99,229.89,227.53,227.44,228.00,0.56,0.25,1,19,948,2.74,226.43,331.75,227.25,-8.51,18-Jan-2023,-26.04,19-Dec-2023
DSPNEWETF,NIFTY 50 Equal Weight Index,273.07,274.23,272.73,272.90,273.58,0.68,0.25,1,589,0.04,271.22,287.96,194.25,1.83,18-Jan-2023,29.64,19-Dec-2023
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index,54.80,55.00,54.62,54.50,54.63,0.13,0.24,72,-,54.59,62.95,50.30,-,-,-,-
